Embedding,Classifier,Best Params,Accuracy,F1 Score,Training Time (s),Testing Time (s),Confusion Matrix
Word2Vec,SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.4766233766233766,0.3458391691593215,7.552246809005737,1.0969517230987549,"[[ 0  0  0 ...  0  1  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0 40 ...  0  0  0]
 ...
 [ 0  0  0 ... 38  0  0]
 [ 0  0  0 ...  0 37  0]
 [ 0  0  0 ...  0  2  0]]"
Word2Vec,RandomForest,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.45162337662337665,0.33146172414566516,46.36800241470337,0.05499768257141113,"[[ 0  0  0 ...  0  4  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0 40 ...  0  0  0]
 ...
 [ 0  0  0 ... 37  1  0]
 [ 0  0  0 ...  0 37  0]
 [ 0  0  0 ...  0  3  0]]"
Word2Vec,DecisionTree,"{'max_depth': None, 'min_samples_split': 2}",0.29935064935064937,0.2166698848807647,8.590553522109985,0.0009996891021728516,"[[ 0  0  0 ...  0  1  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0 31 ...  0  0  0]
 ...
 [ 0  0  1 ... 24  0  0]
 [ 0  0  0 ...  0 18  0]
 [ 0  0  0 ...  0  3  0]]"
GloVe,SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.45292207792207795,0.32733280628895994,2.1548397541046143,0.568518877029419,"[[ 0  0  0 ...  0  1  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0 40 ...  0  0  0]
 ...
 [ 0  0  0 ... 38  0  0]
 [ 0  0  0 ...  0 38  0]
 [ 0  0  0 ...  0  0  0]]"
GloVe,RandomForest,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.42305194805194807,0.30815699969951216,18.514365196228027,0.05899977684020996,"[[ 0  0  0 ...  0  4  0]
 [ 0  0  0 ...  1  0  0]
 [ 0  0 40 ...  0  0  0]
 ...
 [ 0  0  0 ... 39  0  0]
 [ 0  0  0 ...  0 37  0]
 [ 0  0  0 ...  0  1  0]]"
GloVe,DecisionTree,"{'max_depth': None, 'min_samples_split': 2}",0.2801948051948052,0.19987599874207287,1.370279312133789,0.0010006427764892578,"[[ 0  0  0 ...  1  4  0]
 [ 0  0  1 ...  2  0  0]
 [ 0  0 34 ...  0  0  0]
 ...
 [ 0  0  1 ... 27  1  0]
 [ 0  0  0 ...  0 29  0]
 [ 0  0  0 ...  0  1  0]]"
USE,SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.4837662337662338,0.3517999259875857,13.612522840499878,1.661133050918579,"[[ 0  0  0 ...  0  3  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0 40 ...  0  0  0]
 ...
 [ 0  0  0 ... 37  0  0]
 [ 0  0  0 ...  0 36  0]
 [ 0  0  0 ...  0  5  0]]"
USE,RandomForest,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.4642857142857143,0.3429111764679063,59.721139907836914,0.05899977684020996,"[[ 0  0  0 ...  0  3  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0 39 ...  0  0  0]
 ...
 [ 0  0  0 ... 38  0  0]
 [ 0  0  0 ...  0 37  0]
 [ 0  0  0 ...  0  6  0]]"
USE,DecisionTree,"{'max_depth': None, 'min_samples_split': 2}",0.337987012987013,0.24023890408180198,13.682429790496826,0.0020003318786621094,"[[ 0  0  0 ...  0  4  0]
 [ 0  0  0 ...  0  1  0]
 [ 0  0 37 ...  1  0  0]
 ...
 [ 0  0  0 ... 30  1  0]
 [ 0  0  0 ...  0 25  0]
 [ 0  0  0 ...  0  2  0]]"
SBERT,SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.4814935064935065,0.35250778600144433,7.1659276485443115,1.1321234703063965,"[[ 0  0  0 ...  0  2  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0 40 ...  0  0  0]
 ...
 [ 0  0  0 ... 38  0  0]
 [ 0  0  0 ...  0 38  0]
 [ 0  0  0 ...  0  6  0]]"
SBERT,RandomForest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.46136363636363636,0.3396613565667118,49.85532808303833,0.06200051307678223,"[[ 0  0  0 ...  0  1  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0 39 ...  0  0  0]
 ...
 [ 0  0  0 ... 39  0  0]
 [ 0  0  0 ...  0 37  0]
 [ 0  0  0 ...  0  5  0]]"
SBERT,DecisionTree,"{'max_depth': None, 'min_samples_split': 2}",0.3327922077922078,0.23627950461194233,9.887093544006348,0.002000570297241211,"[[ 0  0  1 ...  0  4  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0 33 ...  0  0  0]
 ...
 [ 0  0  0 ... 26  0  0]
 [ 0  0  0 ...  0 25  0]
 [ 0  0  0 ...  0  0  0]]"
